t,S,I,R
301,0.004901960784313725,0.8921568627450981,0.10294117647058823
302,0.004901960784313725,0.8921568627450981,0.10294117647058823
303,0.004901960784313725,0.8921568627450981,0.10294117647058823
304,0.004901960784313725,0.8921568627450981,0.10294117647058823
305,0.004901960784313725,0.8921568627450981,0.10294117647058823
306,0.004901960784313725,0.8921568627450981,0.10294117647058823
307,0.004901960784313725,0.8921568627450981,0.10294117647058823
308,0.004901960784313725,0.8921568627450981,0.10294117647058823
309,0.004901960784313725,0.8921568627450981,0.10294117647058823
310,0.004901960784313725,0.8921568627450981,0.10294117647058823
311,0.004901960784313725,0.8921568627450981,0.10294117647058823
312,0.004901960784313725,0.8921568627450981,0.10294117647058823
313,0.004901960784313725,0.8921568627450981,0.10294117647058823
314,0.004901960784313725,0.8921568627450981,0.10294117647058823
315,0.004901960784313725,0.8921568627450981,0.10294117647058823
316,0.004901960784313725,0.8921568627450981,0.10294117647058823
317,0.004901960784313725,0.8921568627450981,0.10294117647058823
318,0.004901960784313725,0.8921568627450981,0.10294117647058823
319,0.004901960784313725,0.8921568627450981,0.10294117647058823
320,0.004901960784313725,0.8921568627450981,0.10294117647058823
321,0.004901960784313725,0.8921568627450981,0.10294117647058823
322,0.0,0.8970588235294118,0.10294117647058823
323,0.0,0.8970588235294118,0.10294117647058823
324,0.0,0.8970588235294118,0.10294117647058823
325,0.0,0.8970588235294118,0.10294117647058823
326,0.0,0.8970588235294118,0.10294117647058823
327,0.0,0.8970588235294118,0.10294117647058823
328,0.0,0.8970588235294118,0.10294117647058823
329,0.0,0.8970588235294118,0.10294117647058823
330,0.0,0.8970588235294118,0.10294117647058823
331,0.0,0.8970588235294118,0.10294117647058823
332,0.0,0.8970588235294118,0.10294117647058823
333,0.0,0.8970588235294118,0.10294117647058823
334,0.0,0.8970588235294118,0.10294117647058823
335,0.0,0.8970588235294118,0.10294117647058823
336,0.0,0.8970588235294118,0.10294117647058823
337,0.0,0.8970588235294118,0.10294117647058823
338,0.0,0.8970588235294118,0.10294117647058823
339,0.0,0.8970588235294118,0.10294117647058823
340,0.0,0.8970588235294118,0.10294117647058823
341,0.0,0.8970588235294118,0.10294117647058823
342,0.0,0.8970588235294118,0.10294117647058823
343,0.0,0.8970588235294118,0.10294117647058823
344,0.0,0.8970588235294118,0.10294117647058823
345,0.0,0.8970588235294118,0.10294117647058823
346,0.0,0.8970588235294118,0.10294117647058823
347,0.0,0.8970588235294118,0.10294117647058823
348,0.0,0.8970588235294118,0.10294117647058823
349,0.0,0.8970588235294118,0.10294117647058823
350,0.0,0.8970588235294118,0.10294117647058823
351,0.0,0.8970588235294118,0.10294117647058823
352,0.0,0.8970588235294118,0.10294117647058823
353,0.0,0.8970588235294118,0.10294117647058823
354,0.0,0.8970588235294118,0.10294117647058823
